node,rank,time
1,128,3.499
1,128,3.499
1,128,3.499
1,128,8.856
1,128,8.856
1,128,8.856
1,128,27.547
1,128,27.547
1,128,27.547
1,128,61.631
1,128,61.631
1,128,61.631
1,128,123.464
1,128,123.464
1,128,123.464
1,128,243.411
1,128,243.411
1,128,243.411
1,128,473.374
1,128,473.374
1,128,473.374
2,65535,5.185
2,65535,7.127
2,65535,11.006
2,65535,11.966
2,256,19.316
2,256,19.316
2,256,19.316
2,256,26.874
2,256,26.874
2,256,26.874
2,256,44.444
2,256,44.444
2,256,44.444
2,256,68.35
2,256,68.35
2,256,68.35
2,256,108.789
2,256,115.076
2,256,115.076
2,256,115.076
2,256,204.115
2,256,216.485
2,256,216.485
2,256,216.485
2,256,306.244
2,256,384.513
2,256,436.398
2,256,443.782
2,256,443.782
2,256,443.782
2,256,484.887
2,256,533.815
2,256,580.813
6,65535,6.314
6,65535,10.015
6,65535,13.995
6,65535,17.093
6,256,25.369
6,256,25.369
6,256,25.369
6,256,25.369
6,256,25.369
6,256,25.369
6,256,31.678
6,256,31.678
6,256,31.678
6,256,31.678
6,256,31.678
6,256,31.678
6,256,46.83
6,256,46.83
6,256,46.83
6,256,46.83
6,256,46.83
6,256,46.83
6,256,72.975
6,256,73.87
6,256,73.87
6,256,73.87
6,256,73.87
6,256,73.87
6,256,73.87
6,256,137.344
6,256,137.344
6,256,137.344
6,256,137.344
6,256,137.344
6,256,137.344
6,256,139.822
6,256,226.926
6,256,264.169
6,256,264.169
6,256,264.169
6,256,264.169
6,256,264.169
6,256,264.169
6,256,323.677
6,256,389.576
6,256,427.285
6,256,427.285
6,256,427.285
6,256,427.285
6,256,427.285
6,256,427.285
6,256,460.63
6,256,563.425
6,256,622.269
8,65535,7.312
8,65535,9.359
8,65535,12.641
8,65535,13.922
8,256,18.714
8,256,18.714
8,256,18.714
8,256,28.24
8,256,28.24
8,256,28.24
8,256,37.045
8,256,37.045
8,256,37.045
8,256,74.023
8,256,74.023
8,256,74.023
8,256,116.6
8,256,125.367
8,256,125.367
8,256,125.367
8,256,162.948
8,256,255.619
8,256,255.619
8,256,255.619
8,256,267.13
8,256,338.991
8,256,455.239
8,256,455.239
8,256,455.239
7,65535,21.503
7,65535,23.121
7,65535,25.81
7,65535,29.449
7,65535,32.939
7,65535,36.006
7,384,37.822
7,384,42.351
7,384,42.351
7,384,42.351
7,384,42.351
7,384,42.351
7,384,42.351
7,384,42.351
7,384,42.351
7,384,48.534
7,384,48.534
7,384,48.534
7,384,48.534
7,384,48.534
7,384,48.534
7,384,48.534
7,384,48.534
7,384,55.081
7,384,55.081
7,384,55.081
7,384,55.081
7,384,55.081
7,384,55.081
7,384,55.081
7,384,55.081
7,384,72.51
7,384,72.51
7,384,72.51
7,384,72.51
7,384,72.51
7,384,72.51
7,384,72.51
7,384,72.51
7,384,94.667
7,384,94.667
7,384,94.667
7,384,94.667
7,384,94.667
7,384,94.667
7,384,94.667
7,384,94.667
7,384,107.925
7,384,161.987
7,384,172.628
7,384,172.628
7,384,172.628
7,384,172.628
7,384,172.628
7,384,172.628
7,384,172.628
7,384,172.628
7,384,254.813
7,384,278.269
7,384,278.269
7,384,278.269
7,384,278.269
7,384,278.269
7,384,278.269
7,384,278.269
7,384,278.269
7,384,308.035
7,384,357.252
7,384,423.472
7,384,469.424
7,384,517.973
7,384,517.973
7,384,517.973
7,384,517.973
7,384,517.973
7,384,517.973
7,384,517.973
7,384,517.973
7,384,565.966
7,256,674.444
3,65535,21.648
3,65535,21.866
3,65535,23.538
3,65535,26.909
3,384,30.065
3,384,35.022
3,384,35.022
3,384,35.022
3,384,35.022
3,384,35.022
3,384,35.022
3,384,41.296
3,384,41.296
3,384,41.296
3,384,41.296
3,384,41.296
3,384,41.296
3,384,48.622
3,384,48.622
3,384,48.622
3,384,48.622
3,384,48.622
3,384,48.622
3,384,56.168
3,384,56.168
3,384,56.168
3,384,56.168
3,384,56.168
3,384,56.168
3,384,71.863
3,384,71.863
3,384,71.863
3,384,71.863
3,384,71.863
3,384,71.863
3,384,77.618
3,384,105.681
3,384,105.681
3,384,105.681
3,384,105.681
3,384,105.681
3,384,105.681
3,384,137.99099999999999
3,384,159.24099999999999
3,384,159.24099999999999
3,384,159.24099999999999
3,384,159.24099999999999
3,384,159.24099999999999
3,384,159.24099999999999
3,384,190.531
3,384,249.486
3,384,295.546
3,384,295.546
3,384,295.546
3,384,295.546
3,384,295.546
3,384,295.546
3,384,308.761
3,384,389.438
3,384,438.285
3,384,463.09000000000003
3,384,463.09000000000003
3,384,463.09000000000003
3,384,463.09000000000003
3,384,463.09000000000003
3,384,463.09000000000003
3,384,508.33
3,384,575.427
3,384,632.572
5,128,26.52
5,128,26.902
5,128,27.576
5,128,29.298
5,128,35.937
5,128,35.937
5,128,35.937
5,128,35.937
5,128,35.937
5,128,35.937
5,128,35.937
5,128,35.937
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.009
5,128,42.082
5,128,42.858
5,128,44.434
5,128,45.24
5,128,45.821
5,128,46.6
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.161
5,128,49.461
5,128,49.565
5,128,50.466
5,128,56.251
5,128,56.813
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.601
5,128,57.885
5,128,58.986
5,128,59.324
5,128,65.204
5,128,66.311
5,128,68.553
5,128,68.581
5,128,68.68299999999999
5,128,69.034
5,128,69.034
5,128,69.034
5,128,69.034
5,128,69.034
5,128,69.034
5,128,69.034
5,128,69.034
5,128,75.243
5,128,76.556
5,128,77.55
5,128,78.828
5,128,78.92
5,128,86.163
5,128,86.82300000000001
5,128,86.994
5,128,87.312
5,128,88.309
5,128,88.422
5,128,95.588
5,128,96.977
5,128,97.82900000000001
5,128,98.26599999999999
5,128,98.475
5,128,105.181
5,128,105.181
5,128,105.181
5,128,105.181
5,128,105.181
5,128,105.181
5,128,105.181
5,128,105.181
5,128,106.027
5,128,106.62899999999999
5,128,106.96600000000001
5,128,108.043
5,128,109.095
5,128,116.04599999999999
5,128,116.537
5,128,117.185
5,128,118.02799999999999
5,128,119.256
5,128,125.1
5,128,127.003
5,128,127.742
5,128,128.161
5,128,128.989
5,128,134.318
5,128,137.562
5,128,137.704
5,128,138.361
5,128,139.125
5,128,144.301
5,128,146.644
5,128,147.317
5,128,147.804
5,128,148.977
5,128,154.753
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.359
5,128,155.719
5,128,156.916
5,128,157.483
5,128,159.249
5,128,163.84300000000002
5,128,165.975
5,128,167.077
5,128,167.461
