node,seq,send,sink,response,delay
2,0,23.951,23.98,23.987,0.03599999999999781
2,1,34.868,34.875,34.904,0.036000000000001364
2,2,43.998,44.005,44.011,0.01300000000000523
2,3,53.031,53.04,53.057,0.026000000000003354
2,4,63.951,63.959,63.965,0.014000000000002899
2,5,74.068,74.07300000000001,74.07900000000001,0.01100000000000989
2,6,83.087,83.10900000000001,83.134,0.046999999999997044
2,7,92.259,92.26599999999999,92.30199999999999,0.042999999999992156
2,8,101.955,101.971,102.009,0.054000000000002046
2,9,111.22200000000001,111.275,111.291,0.0689999999999884
2,10,120.385,120.427,120.456,0.07099999999999795
2,11,130.51,130.519,130.555,0.045000000000015916
2,12,141.274,141.301,141.336,0.06200000000001182
2,13,150.341,150.375,150.389,0.04800000000000182
2,14,160.21800000000002,160.232,160.258,0.03999999999999204
2,15,169.769,169.846,169.85399999999998,0.08499999999997954
2,16,180.29,180.31,180.317,0.027000000000015234
2,17,189.828,189.863,189.879,0.05099999999998772
2,18,199.113,199.14600000000002,199.152,0.03899999999998727
2,19,208.46699999999998,208.493,208.536,0.06900000000001683
2,20,217.90699999999998,217.936,217.974,0.06700000000000728
2,21,227.213,227.22,227.254,0.04099999999999682
2,22,236.302,236.312,236.344,0.04200000000000159
2,23,245.463,245.494,245.511,0.04800000000000182
2,24,256.234,256.252,256.271,0.03700000000003456
2,25,266.915,266.955,266.975,0.060000000000002274
2,26,276.24,276.28,276.314,0.07400000000001228
2,27,286.111,286.145,286.154,0.043000000000006366
2,28,296.54200000000003,296.585,296.621,0.07899999999995089
2,29,305.609,305.616,305.652,0.043000000000006366
2,30,315.042,315.082,315.121,0.07900000000000773
2,31,325.404,325.442,325.476,0.07200000000000273
3,0,62.144,62.263,62.345,0.2010000000000005
3,1,71.542,71.629,71.735,0.19299999999999784
3,2,80.971,81.10300000000001,81.249,0.2779999999999916
3,3,90.46000000000001,90.652,90.852,0.3919999999999959
3,4,99.976,100.113,100.226,0.25
3,5,109.791,109.89699999999999,109.99600000000001,0.2050000000000125
3,6,119.582,119.701,119.82,0.23799999999999955
3,7,129.947,130.121,130.255,0.3079999999999927
3,8,139.256,139.36599999999999,139.507,0.2510000000000048
3,9,148.452,148.624,148.761,0.3089999999999975
3,10,158.852,158.941,159.07,0.2179999999999893
3,11,169.635,169.873,170.061,0.42600000000001614
3,12,179.494,179.583,179.73,0.23599999999999
3,13,188.569,188.684,188.804,0.23500000000001364
3,14,198.097,198.238,198.425,0.32800000000000296
3,15,209.049,209.23,209.425,0.3760000000000048
3,16,219.09,219.233,219.373,0.28299999999998704
3,17,229.518,229.65,229.71699999999998,0.19899999999998386
3,18,239.195,239.353,239.494,0.2990000000000066
3,19,248.356,248.471,248.624,0.2680000000000007
3,20,257.754,257.891,258.003,0.2489999999999668
3,21,268.105,268.241,268.335,0.22999999999996135
