node,seq,send,sink,response,delay
3,21,228.614,228.639,228.66899999999998,0.0549999999999784
3,22,239.43200000000002,239.453,239.474,0.04199999999997317
3,23,248.652,248.846,248.878,0.2259999999999991
3,24,259.213,259.251,259.291,0.07799999999997453
3,25,268.588,268.622,268.642,0.053999999999973625
3,26,277.80899999999997,277.845,277.877,0.06800000000004047
3,27,287.983,287.988,288.003,0.01999999999998181
3,28,298.317,298.323,298.329,0.012000000000000455
3,29,307.862,307.872,307.893,0.03099999999994907
4,0,36.875,36.907,36.935,0.060000000000002274
4,1,46.427,46.471,46.501,0.07399999999999807
4,2,56.708,56.732,56.774,0.0660000000000025
4,3,66.336,66.403,66.425,0.08899999999999864
4,4,76.46600000000001,76.518,76.578,0.11199999999999477
4,5,87.168,87.219,87.27,0.10199999999998965
4,6,97.461,97.477,97.524,0.06300000000000239
4,7,106.523,106.577,106.648,0.125
4,8,116.712,116.743,116.81700000000001,0.10500000000000398
4,9,126.444,126.467,126.491,0.046999999999997044
4,10,136.597,136.636,136.682,0.08499999999997954
4,11,147.065,147.114,147.181,0.11600000000001387
4,12,157.077,157.124,157.164,0.08699999999998909
4,13,166.38,166.461,166.489,0.10900000000000887
4,14,175.54500000000002,175.587,175.607,0.0619999999999834
4,15,186.427,186.494,186.565,0.13800000000000523
4,16,196.03300000000002,196.089,196.125,0.09199999999998454
4,17,205.432,205.47899999999998,205.561,0.1290000000000191
4,18,214.863,214.936,214.98,0.11699999999999022
4,19,225.339,225.416,225.462,0.12299999999999045
4,20,235.765,235.803,235.847,0.08200000000002206
4,21,245.369,245.39,245.419,0.05000000000001137
4,22,255.501,255.545,255.584,0.08299999999999841
4,23,265.974,266.026,266.097,0.12299999999999045
4,24,275.901,275.921,275.952,0.05099999999998772
4,25,286.003,286.053,286.085,0.08199999999999363
4,26,295.726,295.763,295.80899999999997,0.08299999999996999
4,27,305.365,305.422,305.448,0.08299999999996999
6,0,29.468,29.527,29.536,0.06800000000000139
6,1,39.063,39.097,39.137,0.07399999999999807
6,2,48.647,48.672,48.683,0.036000000000001364
6,3,59.523,59.553,59.561,0.0379999999999967
6,4,69.026,69.064,69.094,0.06799999999999784
6,5,78.349,78.378,78.385,0.036000000000001364
6,6,87.619,87.644,87.681,0.06199999999999761
6,7,96.955,96.977,97.00200000000001,0.047000000000011255
6,8,107.136,107.14099999999999,107.174,0.038000000000010914
6,9,116.538,116.544,116.554,0.016000000000005343
6,10,126.92,126.938,126.966,0.04599999999999227
6,11,137.79,137.818,137.835,0.045000000000015916
6,12,148.418,148.443,148.485,0.06700000000000728
6,13,159.254,159.289,159.299,0.045000000000015916
6,14,169.228,169.267,169.302,0.07399999999998386
6,15,180.047,180.073,180.097,0.05000000000001137
6,16,189.122,189.139,189.18,0.057999999999992724
6,17,198.981,199.014,199.02,0.03900000000001569
6,18,208.593,208.617,208.662,0.06900000000001683
6,19,217.716,217.738,217.775,0.0589999999999975
6,20,228.008,228.037,228.04500000000002,0.03700000000000614
6,21,238.30599999999998,238.326,238.338,0.03200000000001069
6,22,248.656,248.704,248.724,0.06799999999998363
6,23,258.635,258.648,258.654,0.019000000000005457
6,24,268.57,268.6,268.61,0.040000000000020464
6,25,278.993,279.03499999999997,279.064,0.07100000000002638
6,26,289.592,289.632,289.677,0.08500000000003638
6,27,299.706,299.734,299.772,0.06599999999997408
6,28,309.819,309.848,309.888,0.06899999999995998
7,0,23.598,23.603,23.632,0.03400000000000247
7,1,32.862,32.905,32.932,0.07000000000000028
7,2,42.968,42.99,43.017,0.04899999999999949
7,3,53.045,53.058,53.063,0.018000000000000682
7,4,62.053,62.078,62.09,0.03700000000000614
7,5,72.056,72.098,72.14,0.08400000000000318
7,6,82.375,82.389,82.445,0.06999999999999318
7,7,91.702,91.739,91.768,0.0660000000000025
7,8,102.15100000000001,102.162,102.18,0.028999999999996362
7,9,113.003,113.018,113.031,0.028000000000005798
7,10,123.459,123.5,123.516,0.05700000000000216
7,11,133.069,133.074,133.111,0.04200000000000159
7,12,143.141,143.167,143.21,0.06900000000001683
7,13,153.727,153.764,153.786,0.0589999999999975
7,14,163.94,163.95600000000002,163.985,0.045000000000015916
7,15,173.518,173.548,173.574,0.056000000000011596
7,16,184.354,184.359,184.382,0.027999999999991587
7,17,194.428,194.454,194.46,0.03200000000001069
7,18,203.496,203.538,203.54500000000002,0.049000000000006594
7,19,213.631,213.671,213.716,0.08500000000000796
7,20,223.961,224.004,224.04399999999998,0.08299999999996999
7,21,233.536,233.542,233.573,0.03700000000000614
7,22,244.353,244.36599999999999,244.389,0.036000000000001364
7,23,253.49099999999999,253.526,253.534,0.043000000000006366
7,24,263.032,263.055,263.063,0.03100000000000591
7,25,273.48199999999997,273.517,273.56,0.07800000000003138
7,26,282.994,283.03499999999997,283.056,0.06199999999995498
7,27,293.137,293.162,293.171,0.033999999999991815
7,28,302.278,302.306,302.342,0.06399999999996453
7,29,311.503,311.521,311.539,0.036000000000001364
8,0,24.64,24.678,24.705,0.06499999999999773
8,1,34.111,34.14,34.167,0.05600000000000449
8,2,43.733,43.766,43.772,0.03900000000000148
8,3,53.319,53.353,53.393,0.07399999999999807
8,4,63.524,63.534,63.561,0.036999999999999034
8,5,73.071,73.105,73.145,0.07399999999999807
8,6,83.146,83.188,83.231,0.08499999999999375
8,7,93.07300000000001,93.082,93.088,0.014999999999986358
8,8,102.46000000000001,102.50399999999999,102.535,0.07499999999998863
8,9,111.65299999999999,111.691,111.71600000000001,0.0630000000000166
8,10,121.006,121.024,121.044,0.0379999999999967
8,11,130.439,130.471,130.503,0.06399999999999295
8,12,141.264,141.298,141.312,0.04800000000000182
8,13,150.824,150.855,150.893,0.0689999999999884
8,14,161.776,161.803,161.834,0.057999999999992724
