node,rank,time
1,128,3.499
1,128,8.856
1,128,28.495
1,128,47.397
1,128,117.88
1,128,216.554
5,65535,4.65
5,65535,5.032
5,65535,5.706
5,65535,7.428
5,306,14.041
5,306,14.041
5,306,14.041
5,306,14.041
5,306,14.041
5,296,22.414
5,296,22.414
5,296,22.414
5,296,22.414
5,296,22.414
5,275,35.621
5,275,35.621
5,275,35.621
5,275,35.621
5,275,35.621
5,271,64.085
5,271,64.085
5,271,64.085
5,271,64.085
5,271,64.085
5,271,65.478
5,271,136.848
5,271,136.848
5,271,136.848
5,271,136.848
5,271,136.848
5,271,170.109
5,271,249.693
5,271,249.693
5,271,249.693
5,271,249.693
5,271,249.693
5,271,274.341
7,65535,16.228
7,65535,17.862
7,65535,20.307
7,65535,23.266
7,470,31.048
7,470,31.048
7,470,31.048
7,470,31.048
7,444,39.109
7,444,39.109
7,444,39.109
7,444,39.109
7,439,52.301
7,439,52.301
7,439,52.301
7,439,52.301
7,421,87.607
7,421,87.607
7,421,87.607
7,421,87.607
7,418,99.845
7,408,149.665
7,407,152.829
7,407,152.829
7,407,152.829
7,407,152.829
7,400,225.906
7,400,225.906
7,400,225.906
7,400,225.906
7,399,248.265
7,399,326.974
6,65535,16.414
6,65535,17.09
6,65535,21.067
6,65535,21.465
6,473,29.172
6,473,29.172
6,473,29.172
6,473,29.172
6,473,29.172
6,473,29.172
6,447,36.177
6,447,36.177
6,447,36.177
6,447,36.177
6,447,36.177
6,447,36.177
6,438,50.644
6,438,50.644
6,438,50.644
6,438,50.644
6,438,50.644
6,438,50.644
6,423,81.644
6,423,81.644
6,423,81.644
6,423,81.644
6,423,81.644
6,423,81.644
6,415,110.346
6,408,150.204
6,408,150.204
6,408,150.204
6,408,150.204
6,408,150.204
6,408,150.204
6,402,213.458
6,399,241.189
6,399,241.189
6,399,241.189
6,399,241.189
6,399,241.189
6,399,241.189
6,399,273.023
3,65535,16.975
3,65535,17.193
3,65535,18.883
3,65535,19.324
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,23.635
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,491,30.173
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,430,37.75
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,409,55.218
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,81.508
3,399,100.49600000000001
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,405,152.458
3,399,179.404
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,220.085
3,399,255.733
3,399,334.42
12,65535,17.012
12,65535,18.428
12,65535,18.592
12,65535,18.99
12,484,25.046
12,484,25.046
12,484,25.046
12,478,31.484
12,478,31.484
12,478,31.484
12,441,43.58
12,441,43.58
12,441,43.58
12,417,72.364
12,417,72.364
12,417,72.364
12,405,113.39699999999999
12,401,132.704
12,401,132.704
12,401,132.704
12,415,182.291
12,399,247.832
12,399,247.832
12,399,247.832
12,399,286.60699999999997
10,65535,25.314
10,65535,26.895
10,65535,29.717
10,65535,31.688
10,608,40.463
10,608,40.463
10,608,40.463
10,608,40.463
10,608,40.463
10,608,47.713
10,608,47.713
10,608,47.713
10,608,47.713
10,608,47.713
10,577,63.038
10,577,63.038
10,577,63.038
10,577,63.038
10,577,63.038
10,559,83.231
10,559,83.231
10,559,83.231
10,559,83.231
10,559,83.231
10,549,119.654
10,542,149.026
10,542,149.026
10,542,149.026
10,542,149.026
10,542,149.026
10,531,227.454
10,528,256.412
10,528,256.412
10,528,256.412
10,528,256.412
10,528,256.412
10,527,310.454
9,65535,25.507
9,65535,26.314
9,65535,26.384
9,65535,27.388
9,680,36.792
9,680,36.792
9,680,36.792
9,680,36.792
9,612,43.025
9,612,43.025
9,612,43.025
9,612,43.025
9,585,57.627
9,585,57.627
9,585,57.627
9,585,57.627
9,561,84.451
9,561,84.451
9,561,84.451
9,561,84.451
9,551,117.626
9,559,152.647
9,559,152.647
9,559,152.647
9,559,152.647
9,556,164.876
9,537,223.471
9,534,257.592
9,534,257.592
9,534,257.592
9,534,257.592
9,529,299.105
2,65535,25.591
2,65535,26.548
2,65535,30.554
2,65535,32.312
2,603,37.844
2,603,37.844
2,603,37.844
2,603,37.844
2,603,37.844
2,598,46.851
2,598,46.851
2,598,46.851
2,598,46.851
2,598,46.851
2,573,61.133
2,573,61.133
2,573,61.133
2,573,61.133
2,573,61.133
2,565,81.152
2,565,81.152
2,565,81.152
2,565,81.152
2,565,81.152
2,552,89.735
2,542,134.786
2,542,134.786
2,542,134.786
2,542,134.786
2,542,134.786
2,538,150.011
2,527,251.329
2,527,289.045
2,527,289.045
2,527,289.045
2,527,289.045
2,527,289.045
2,527,299.213
8,65535,25.658
8,65535,28.437
8,65535,30.209
8,65535,30.788
8,65535,31.121
8,651,36.348
8,651,36.348
8,651,36.348
8,651,36.348
8,614,44.157
8,614,44.157
8,614,44.157
8,614,44.157
8,605,54.661
8,605,54.661
8,605,54.661
8,605,54.661
8,573,80.035
8,570,91.242
8,570,91.242
8,570,91.242
8,570,91.242
8,540,145.20499999999998
8,540,145.20499999999998
8,540,145.20499999999998
8,540,145.20499999999998
8,544,188.636
8,536,243.863
8,536,243.863
8,536,243.863
8,536,243.863
8,529,292.555
4,65535,26.256
4,65535,30.096
4,65535,31.304
4,65535,32.305
4,636,38.82
4,636,38.82
4,636,38.82
4,636,38.82
4,636,45.677
4,636,45.677
4,636,45.677
4,636,45.677
4,600,57.729
4,600,57.729
4,600,57.729
4,600,57.729
4,572,87.688
4,572,87.688
4,572,87.688
4,572,87.688
4,563,113.283
4,552,139.679
4,552,139.679
4,552,139.679
4,552,139.679
4,550,172.78
4,533,242.171
4,529,286.799
4,529,286.799
4,529,286.799
4,529,286.799
4,527,300.34
11,65535,27.059
11,65535,30.489
11,65535,30.849
11,65535,33.058
11,637,38.14
11,637,38.14
11,637,38.14
11,637,38.14
11,629,46.734
11,629,46.734
11,629,46.734
11,629,46.734
11,600,59.322
11,600,59.322
11,600,59.322
11,600,59.322
11,567,97.076
11,567,97.076
11,567,97.076
11,567,97.076
11,555,123.547
11,552,134.369
11,552,134.369
11,552,134.369
11,552,134.369
11,558,179.855
11,547,244.168
11,547,244.168
11,547,244.168
11,547,244.168
11,541,284.411
