node,seq,send,sink,response,delay
2,0,23.951,23.98,24.006,0.054999999999999716
2,1,34.868,34.909,34.915,0.046999999999997044
2,2,45.356,45.383,45.41,0.05399999999999494
2,3,54.848,54.86,54.9,0.0519999999999996
2,4,63.912,63.942,63.982,0.07000000000000028
2,5,73.023,73.037,73.077,0.054000000000002046
2,6,83.14699999999999,83.156,83.182,0.0350000000000108
2,7,94.06700000000001,94.11,94.149,0.08199999999999363
2,8,104.88,104.90299999999999,104.928,0.04800000000000182
2,9,115.706,115.729,115.759,0.05299999999999727
2,10,124.797,124.831,124.867,0.07000000000000739
2,11,135.363,135.407,135.438,0.07499999999998863
2,12,145.857,145.872,145.887,0.030000000000001137
2,13,156.832,156.84199999999998,156.879,0.046999999999997044
2,14,167.445,167.451,167.49099999999999,0.04599999999999227
2,15,177.41899999999998,177.46,177.469,0.05000000000001137
2,16,188.381,188.388,188.417,0.036000000000001364
2,17,197.845,197.882,197.907,0.06200000000001182
2,18,207.152,207.182,207.219,0.06700000000000728
2,19,217.442,217.459,217.504,0.0619999999999834
2,20,228.232,228.24,228.28199999999998,0.04999999999998295
2,21,237.946,237.985,238.026,0.0800000000000125
2,22,247.343,247.37,247.38400000000001,0.04100000000002524
2,23,256.689,256.71,256.736,0.04699999999996862
2,24,267.523,267.553,267.577,0.053999999999973625
2,25,278.256,278.275,278.312,0.05600000000004002
2,26,288.512,288.551,288.561,0.04899999999997817
2,27,298.801,298.815,298.848,0.047000000000025466
2,28,309.705,309.749,309.809,0.10400000000004184
2,29,320.608,320.63,320.636,0.02800000000002001
2,30,329.78,329.825,329.836,0.05600000000004002
2,31,340.697,340.718,340.735,0.038000000000010914
2,32,351.303,351.321,351.35,0.047000000000025466
2,33,361.551,361.569,361.586,0.03500000000002501
2,34,371.934,371.941,371.95,0.01599999999996271
2,35,381.019,381.064,381.1,0.08100000000001728
2,36,390.54,390.584,390.594,0.053999999999973625
2,37,401.159,401.2,401.245,0.08600000000001273
2,38,410.283,410.318,410.355,0.07200000000000273
2,39,419.577,419.596,419.604,0.026999999999986812
2,40,430.563,430.569,430.577,0.014000000000010004
2,41,441.391,441.41,441.441,0.049999999999954525
2,42,450.597,450.625,450.637,0.040000000000020464
2,43,459.804,459.837,459.867,0.06300000000004502
2,44,470.172,470.212,470.227,0.05499999999994998
2,45,480.305,480.315,480.345,0.040000000000020464
2,46,490.914,490.953,490.972,0.057999999999992724
2,47,500.678,500.721,500.75,0.07200000000000273
2,48,510.856,510.871,510.884,0.02800000000002001
2,49,521.722,521.748,521.788,0.06600000000003092
2,50,531.841,531.856,531.865,0.02400000000000091
2,51,541.454,541.474,541.499,0.04500000000007276
2,52,550.731,550.775,550.79,0.05899999999996908
2,53,561.094,561.122,561.131,0.036999999999920874
2,54,571.645,571.659,571.696,0.051000000000044565
2,55,580.799,580.83,580.866,0.06700000000000728
2,56,589.978,590.02,590.028,0.05000000000006821
2,57,600.103,600.125,600.133,0.030000000000086402
2,58,610.474,610.492,610.502,0.027999999999906322
2,59,619.605,619.639,619.677,0.07200000000000273
2,60,629.34,629.353,629.372,0.03199999999992542
2,61,639.128,639.15,639.1610000000001,0.03300000000001546
2,62,648.5889999999999,648.63,648.667,0.07800000000008822
2,63,658.155,658.199,658.238,0.08300000000008367
2,64,667.436,667.471,667.478,0.041999999999916326
2,65,678.332,678.355,678.375,0.043000000000006366
3,0,32.896,32.942,32.999,0.10300000000000153
3,1,42.871,43.009,43.06,0.18900000000000006
3,2,52.486,52.552,52.616,0.13000000000000256
3,3,63.454,63.493,63.55,0.09599999999999653
3,4,73.419,73.487,73.533,0.11400000000000432
3,5,82.765,82.831,82.89699999999999,0.1319999999999908
3,6,93.047,93.089,93.10499999999999,0.057999999999992724
3,7,102.632,102.687,102.74799999999999,0.11599999999998545
3,8,112.661,112.695,112.74199999999999,0.08099999999998886
3,9,121.909,121.964,122.025,0.11599999999999966
3,10,132.274,132.346,132.369,0.09499999999999886
3,11,141.722,141.79,141.852,0.12999999999999545
3,12,152.536,152.561,152.631,0.09499999999999886
3,13,162.80599999999998,162.849,162.883,0.0770000000000266
