node,rank,time
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,28.493
1,128,28.493
1,128,28.493
1,128,28.493
1,128,28.493
1,128,49.155
1,128,49.155
1,128,49.155
1,128,49.155
1,128,49.155
1,128,95.007
1,128,95.007
1,128,95.007
1,128,95.007
1,128,95.007
1,128,220.314
1,128,220.314
1,128,220.314
1,128,220.314
1,128,220.314
7,65535,3.803
7,65535,4.524
7,65535,5.934
7,65535,8.539
7,299,16.685
7,299,16.685
7,299,16.685
7,294,24.764
7,294,24.764
7,294,24.764
7,290,42.194
7,290,42.194
7,290,42.194
7,280,65.492
7,280,65.492
7,280,65.492
7,277,77.143
7,268,113.991
7,268,113.991
7,268,113.991
7,266,182.46
7,258,266.562
7,258,271.171
7,258,271.171
7,258,271.171
7,256,329.421
9,65535,4.326
9,65535,5.922
9,65535,9.907
9,65535,12.982
9,324,18.948
9,324,18.948
9,324,18.948
9,324,18.948
9,317,25.917
9,317,25.917
9,317,25.917
9,317,25.917
9,304,42.43
9,304,42.43
9,304,42.43
9,304,42.43
9,306,63.416
9,306,63.416
9,306,63.416
9,306,63.416
9,288,103.061
9,284,113.805
9,284,113.805
9,284,113.805
9,284,113.805
9,281,171.714
9,267,225.232
9,265,235.096
9,265,235.096
9,265,235.096
9,265,235.096
9,257,320.773
5,65535,4.65
5,65535,5.032
5,65535,5.706
5,65535,7.428
5,329,14.041
5,329,14.041
5,329,14.041
5,329,14.041
5,329,14.041
5,329,14.041
5,329,20.359
5,329,20.359
5,329,20.359
5,329,20.359
5,329,20.359
5,329,20.359
5,314,25.357
5,314,25.357
5,314,25.357
5,314,25.357
5,314,25.357
5,314,25.357
5,302,38.519
5,302,38.519
5,302,38.519
5,302,38.519
5,302,38.519
5,302,38.519
5,302,65.438
5,302,77.25
5,302,77.25
5,302,77.25
5,302,77.25
5,302,77.25
5,302,77.25
5,302,142.982
5,302,142.982
5,302,142.982
5,302,142.982
5,302,142.982
5,302,142.982
5,302,169.748
5,302,260.625
5,302,260.625
5,302,260.625
5,302,260.625
5,302,260.625
5,302,260.625
5,302,269.802
6,65535,6.314
6,65535,10.015
6,65535,13.995
6,65535,17.093
6,317,25.36
6,317,25.36
6,317,25.36
6,317,25.36
6,310,31.67
6,310,31.67
6,310,31.67
6,310,31.67
6,299,48.643
6,299,48.643
6,299,48.643
6,299,48.643
6,290,72.992
6,290,77.842
6,290,77.842
6,290,77.842
6,290,77.842
6,268,147.922
6,268,148.078
6,268,148.078
6,268,148.078
6,268,148.078
6,260,224.05700000000002
6,257,252.494
6,257,252.494
6,257,252.494
6,257,252.494
6,256,330.371
8,65535,7.312
8,65535,9.359
8,65535,12.641
8,65535,13.922
8,319,18.726
8,319,18.726
8,319,18.726
8,319,18.726
8,306,29.487
8,306,29.487
8,306,29.487
8,306,29.487
8,292,37.283
8,292,37.283
8,292,37.283
8,292,37.283
8,281,47.97
8,281,47.97
8,281,47.97
8,281,47.97
8,264,76.32
8,264,76.32
8,264,76.32
8,264,76.32
8,256,116.571
8,256,213.578
8,256,255.181
8,256,255.181
8,256,255.181
8,256,255.181
8,256,294.703
2,65535,14.457
2,65535,15.337
2,65535,16.294
2,65535,20.3
2,499,27.229
2,499,27.229
2,499,27.229
2,499,27.229
2,493,36.127
2,493,36.127
2,493,36.127
2,493,36.127
2,475,47.843
2,475,47.843
2,475,47.843
2,475,47.843
2,462,72.363
2,462,72.363
2,462,72.363
2,462,72.363
2,449,115.509
2,447,133.361
2,447,133.361
2,447,133.361
2,447,133.361
2,446,189.13400000000001
2,439,228.679
2,439,228.679
2,439,228.679
2,439,228.679
2,435,270.996
2,430,331.079
4,65535,14.896
4,65535,17.48
4,65535,20.72
4,65535,24.338
4,497,34.253
4,497,34.253
4,497,34.253
4,497,34.253
4,479,41.627
4,479,41.627
4,479,41.627
4,479,41.627
4,469,58.161
4,469,58.161
4,469,58.161
4,469,58.161
4,461,83.14699999999999
4,461,83.14699999999999
4,461,83.14699999999999
4,461,83.14699999999999
4,448,119.211
4,442,155.28300000000002
4,442,155.28300000000002
4,442,155.28300000000002
4,442,155.28300000000002
4,436,201.061
4,430,281.19
4,430,282.219
4,430,282.219
4,430,282.219
4,430,282.219
11,65535,15.006
11,65535,18.632
11,65535,22.058
11,65535,23.66
11,510,30.576
11,510,30.576
11,510,30.576
11,510,30.576
11,503,36.683
11,503,36.683
11,503,36.683
11,503,36.683
11,478,55.878
11,478,55.878
11,478,55.878
11,478,55.878
11,464,82.684
11,464,82.684
11,464,82.684
11,464,82.684
11,460,95.663
11,448,136.973
11,448,136.973
11,448,136.973
11,448,136.973
11,439,189.622
11,434,235.404
11,434,235.404
11,434,235.404
11,434,235.404
11,432,253.248
11,437,337.683
3,65535,16.975
3,65535,17.193
3,65535,18.883
3,65535,19.324
3,495,23.589
3,495,23.589
3,495,23.589
3,495,23.589
3,480,30.027
3,480,30.027
3,480,30.027
3,480,30.027
3,476,37.621
3,476,37.621
3,476,37.621
3,476,37.621
3,460,49.061
3,460,49.061
3,460,49.061
3,460,49.061
3,451,74.124
3,451,74.124
3,451,74.124
3,451,74.124
3,446,100.493
3,437,152.074
3,437,152.074
3,437,152.074
3,437,152.074
3,432,197.874
3,430,234.162
3,430,234.162
3,430,234.162
3,430,234.162
3,430,274.80899999999997
3,430,353.713
10,65535,18.867
10,65535,21.697
10,65535,24.513
10,65535,27.753
10,494,35.937
10,494,35.937
10,474,42.389
10,474,42.389
10,508,58.519
10,508,58.519
10,464,79.039
10,456,91.58500000000001
10,456,91.58500000000001
10,428,140.973
10,424,158.485
10,424,158.485
10,407,213.918
10,390,272.887
10,390,272.887
10,388,292.858
12,65535,20.271
12,65535,21.659
12,65535,21.726
12,65535,24.154
12,483,30.814
12,483,30.814
12,478,37.252
12,478,37.252
12,448,53.517
12,448,53.517
12,419,76.90299999999999
12,419,76.90299999999999
12,416,88.267
12,406,130.255
12,406,130.255
12,400,174.844
12,394,232.287
12,394,232.287
12,384,265.366
12,384,312.091
