node,seq,send,sink,response,delay
2,0,24.472,,,
2,1,34.11,,,
2,2,44.794,,,
2,3,53.924,,,
2,4,62.988,,,
2,5,72.099,,,
2,6,81.844,,,
2,7,90.852,,,
2,8,101.66499999999999,,,
2,9,112.491,,,
2,10,123.429,,,
2,11,134.36,,,
2,12,144.85399999999998,,,
2,13,153.982,,,
2,14,164.595,,,
2,15,174.755,,,
2,16,185.521,,,
2,17,195.633,,,
2,18,204.85399999999998,,,
2,19,213.873,,,
2,20,224.663,,,
2,21,234.377,,,
2,22,244.675,,,
2,23,254.623,,,
2,24,264.506,,,
2,25,274.707,,,
2,26,285.49,,,
2,27,294.526,,,
2,28,303.771,,,
2,29,314.476,,,
2,30,325.004,,,
2,31,335.366,,,
2,32,345.749,,,
2,33,354.834,,,
3,0,22.925,,,
3,1,33.416,,,
3,2,42.737,,,
3,3,52.226,,,
3,4,61.838,,,
3,5,71.792,,,
3,6,82.27799999999999,,,
3,7,92.243,,,
3,8,101.589,,,
3,9,111.078,,,
3,10,120.09,,,
3,11,129.606,,,
3,12,139.421,,,
3,13,149.212,,,
3,14,158.853,,,
3,15,168.162,,,
3,16,177.358,,,
3,17,187.758,,,
3,18,197.769,,,
3,19,208.691,,,
3,20,219.39600000000002,,,
3,21,229.233,,,
3,22,238.761,,,
3,23,247.918,,,
3,24,257.319,,,
3,25,267.214,,,
3,26,276.55899999999997,,,
3,27,286.307,,,
3,28,295.611,,,
3,29,306.5,,,
3,30,315.688,,,
3,31,326.46,,,
3,32,336.072,,,
3,33,346.392,,,
4,0,37.149,,,
4,1,46.302,,,
4,2,55.433,,,
4,3,66.145,,,
4,4,75.99,,,
4,5,85.168,,,
4,6,95.76400000000001,,,
4,7,105.727,,,
4,8,116.563,,,
4,9,126.733,,,
4,10,135.801,,,
4,11,145.5,,,
4,12,155.96800000000002,,,
4,13,166.549,,,
4,14,175.77100000000002,,,
4,15,185.673,,,
4,16,194.838,,,
4,17,205.72,,,
4,18,216.595,,,
4,19,225.70600000000002,,,
4,20,236.699,,,
4,21,246.951,,,
4,22,257.328,,,
4,23,266.85,,,
4,24,276.264,,,
4,25,286.995,,,
4,26,296.072,,,
4,27,306.623,,,
4,28,316.687,,,
4,29,326.677,,,
4,30,335.679,,,
4,31,345.256,,,
6,0,29.003,29.008,29.036,0.03300000000000125
6,1,38.598,38.624,38.63,0.03200000000000358
6,2,48.173,48.18,48.186,0.012999999999998124
6,3,59.069,59.114,59.125,0.055999999999997385
6,4,68.386,68.41,68.436,0.05000000000001137
6,5,78.489,78.518,78.555,0.0660000000000025
6,6,87.759,87.80199999999999,87.815,0.055999999999997385
6,7,96.827,96.866,96.89500000000001,0.06800000000001205
6,8,107.632,107.674,107.681,0.04899999999999238
6,9,116.761,116.77600000000001,116.804,0.043000000000006366
6,10,126.102,126.129,126.164,0.06199999999999761
6,11,136.463,136.506,136.546,0.08299999999999841
6,12,146.323,146.351,146.369,0.04599999999999227
6,13,156.951,156.99,157.011,0.060000000000002274
6,14,167.77,167.801,167.829,0.0589999999999975
6,15,178.024,178.063,178.071,0.046999999999997044
6,16,187.815,187.859,187.86599999999999,0.05099999999998772
6,17,197.421,197.441,197.482,0.06100000000000705
6,18,207.727,207.752,207.791,0.06399999999999295
6,19,217.28,217.298,217.304,0.02400000000000091
6,20,226.417,226.437,226.47899999999998,0.0619999999999834
6,21,236.767,236.797,236.81900000000002,0.05200000000002092
6,22,247.08,247.096,247.127,0.046999999999997044
6,23,257.396,257.404,257.448,0.051999999999964075
6,24,267.23199999999997,267.269,267.276,0.04400000000003956
6,25,277.824,277.854,277.878,0.053999999999973625
6,26,288.247,288.253,288.27,0.022999999999967713
6,27,298.554,298.594,298.632,0.07800000000003138
6,28,308.668,308.696,308.725,0.05700000000001637
6,29,318.781,318.81,318.825,0.04399999999998272
6,30,328.505,328.533,328.544,0.03899999999998727
6,31,338.043,338.086,338.131,0.08799999999996544
6,32,347.131,347.146,347.158,0.027000000000043656
7,0,23.75,23.755,23.772,0.021999999999998465
7,1,33.014,33.057,33.066,0.0519999999999996
7,2,43.12,43.142,43.178,0.05799999999999983
7,3,53.197,53.208,53.23,0.032999999999994145
7,4,62.205,62.228,62.261,0.05600000000000449
7,5,72.741,72.746,72.775,0.034000000000006025
7,6,81.77799999999999,81.797,81.813,0.0350000000000108
7,7,91.189,91.217,91.229,0.04000000000000625
7,8,101.011,101.047,101.062,0.05100000000000193
7,9,111.771,111.80799999999999,111.824,0.05299999999999727
7,10,121.729,121.777,121.792,0.06300000000000239
7,11,131.339,131.37,131.376,0.03700000000000614
7,12,141.13,141.156,141.172,0.04200000000000159
7,13,151.716,151.753,151.787,0.07099999999999795
7,14,161.929,161.945,161.958,0.028999999999996362
7,15,171.507,171.551,171.561,0.054000000000002046
7,16,181.86,181.892,181.937,0.07699999999999818
7,17,192.189,192.215,192.243,0.054000000000002046
7,18,201.257,201.299,201.318,0.06100000000000705
7,19,211.392,211.432,211.446,0.054000000000002046
7,20,221.722,221.765,221.79500000000002,0.0730000000000075
7,21,231.297,231.303,231.341,0.04400000000001114
7,22,242.114,242.127,242.137,0.022999999999996135
7,23,251.252,251.287,251.316,0.06399999999999295
7,24,260.793,260.816,260.823,0.029999999999972715
7,25,271.243,271.286,271.326,0.08300000000002683
7,26,281.367,281.408,281.424,0.05699999999995953
7,27,291.51,291.53499999999997,291.567,0.05700000000001637
7,28,300.651,300.679,300.719,0.06799999999998363
7,29,309.876,309.894,309.9,0.02400000000000091
7,30,320.314,320.328,320.364,0.049999999999954525
7,31,329.829,329.873,329.879,0.05000000000001137
7,32,339.80899999999997,339.815,339.832,0.023000000000024556
7,33,348.814,348.824,348.861,0.04699999999996862
8,0,24.311,24.349,24.365,0.053999999999998494
8,1,33.782,33.788,33.805,0.02300000000000324
8,2,43.273,43.307,43.343,0.07000000000000028
8,3,53.478,53.484,53.523,0.045000000000001705
8,4,63.336,63.378,63.384,0.04800000000000182
8,5,73.263,73.299,73.305,0.04200000000000159
8,6,83.83,83.848,83.86,0.030000000000001137
8,7,94.14,94.18,94.186,0.04600000000000648
8,8,104.071,104.102,104.10900000000001,0.038000000000010914
8,9,114.991,115.00200000000001,115.033,0.04200000000000159
8,10,125.733,125.738,125.776,0.042999999999992156
8,11,134.83,134.861,134.88,0.04999999999998295
8,12,143.988,144.024,144.068,0.0800000000000125
8,13,153.65800000000002,153.69299999999998,153.71699999999998,0.05899999999996908
8,14,164.042,164.047,164.072,0.030000000000001137
8,15,173.412,173.453,173.49,0.07800000000000296
8,16,183.49,183.527,183.533,0.042999999999977945
8,17,192.503,192.514,192.549,0.04600000000002069
8,18,202.375,202.404,202.429,0.054000000000002046
8,19,211.623,211.636,211.667,0.04400000000001114
8,20,220.76,220.784,220.827,0.06700000000000728
8,21,231.714,231.758,231.785,0.07099999999999795
8,22,241.336,241.379,241.397,0.06099999999997863
8,23,250.405,250.438,250.471,0.0660000000000025
8,24,259.678,259.687,259.73,0.05200000000002092
8,25,268.9,268.913,268.919,0.019000000000005457
8,26,278.671,278.712,278.723,0.05200000000002092
8,27,288.778,288.791,288.84000000000003,0.06200000000001182
8,28,298.269,298.278,298.311,0.04199999999997317
