node,rank,time
1,128,3.499
1,128,3.499
1,128,3.499
1,128,8.856
1,128,8.856
1,128,8.856
1,128,27.57
1,128,27.57
1,128,27.57
1,128,48.18
1,128,48.18
1,128,48.18
1,128,120.949
1,128,120.949
1,128,120.949
1,128,195.803
1,128,195.803
1,128,195.803
12,65535,4.206
12,65535,5.951
12,65535,8.356
12,65535,9.257
12,256,17.451
12,256,17.451
12,256,23.922
12,256,23.922
12,256,31.565
12,256,31.565
12,256,45.373
12,256,45.373
12,256,130.32
12,256,130.32
12,256,269.324
12,256,269.324
2,65535,5.185
2,65535,7.127
2,65535,11.006
2,65535,11.966
2,256,19.32
2,256,26.878
2,256,44.45
2,256,68.354
2,256,115.10300000000001
2,256,262.282
8,65535,7.312
8,65535,9.359
8,65535,12.641
8,65535,13.922
8,256,18.734
8,256,18.734
8,256,18.734
8,256,28.26
8,256,28.26
8,256,28.26
8,256,37.072
8,256,37.072
8,256,37.072
8,256,75.785
8,256,75.785
8,256,75.785
8,256,111.447
8,256,111.447
8,256,111.447
8,256,264.095
8,256,264.095
8,256,264.095
11,65535,20.563
11,65535,22.073
11,65535,22.217
11,65535,23.819
11,384,30.755
11,384,30.755
11,384,30.755
11,384,30.755
11,384,36.862
11,384,36.862
11,384,36.862
11,384,36.862
11,384,43.575
11,384,43.575
11,384,43.575
11,384,43.575
11,384,51.225
11,384,51.225
11,384,51.225
11,384,51.225
11,384,63.871
11,384,63.871
11,384,63.871
11,384,63.871
11,384,84.712
11,384,84.712
11,384,84.712
11,384,84.712
11,384,95.82900000000001
11,384,134.298
11,384,134.298
11,384,134.298
11,384,134.298
11,384,143.918
11,384,245.113
11,384,245.113
11,384,245.113
11,384,245.113
4,65535,21.355
4,65535,25.199
4,65535,26.093
4,65535,29.74
4,384,36.13
4,384,36.13
4,384,36.13
4,384,42.871
4,384,42.871
4,384,42.871
4,384,49.874
4,384,49.874
4,384,49.874
4,384,89.804
4,384,89.804
4,384,89.804
4,384,110.7
4,384,159.188
4,384,165.097
4,384,165.097
4,384,165.097
4,384,218.793
4,384,267.261
4,384,270.432
4,384,270.432
4,384,270.432
9,65535,21.632
9,65535,22.439
9,65535,22.509
9,65535,23.513
9,384,31.885
9,384,39.434
9,384,55.912
9,384,80.60900000000001
9,384,144.012
9,384,253.733
7,65535,31.456
7,65535,34.242
7,65535,36.847
7,65535,40.409
7,512,47.822
7,512,47.822
7,512,47.822
7,512,47.822
7,512,47.822
7,512,52.578
7,512,53.852
7,512,53.852
7,512,53.852
7,512,53.852
7,512,53.852
7,512,54.319
7,512,55.328
7,512,58.686
7,256,71.554
7,256,71.554
7,256,71.554
7,256,71.554
7,256,71.554
7,256,100.193
7,256,100.193
7,256,100.193
7,256,100.193
7,256,100.193
7,256,142.848
7,256,142.848
7,256,142.848
7,256,142.848
7,256,142.848
7,256,164.038
7,256,252.353
7,256,289.335
7,256,289.335
7,256,289.335
7,256,289.335
7,256,289.335
7,256,311.494
5,65535,34.208
5,65535,37.057
5,65535,38.122
5,65535,38.403
5,512,46.691
5,512,46.691
5,512,54.656
5,512,55.105
5,512,55.105
5,512,57.366
5,512,58.211
5,512,61.628
5,256,72.605
5,256,72.605
5,256,94.99199999999999
5,256,94.99199999999999
5,256,166.44
5,256,166.44
5,256,269.185
5,256,269.185
6,128,34.464
6,128,37.884
6,128,40.568
6,128,42.78
6,128,51.443
6,128,51.443
6,128,51.443
6,128,51.443
6,128,51.443
6,128,59.189
6,128,60.633
6,128,60.678
6,128,60.678
6,128,60.678
6,128,60.678
6,128,60.678
6,128,62.203
6,128,62.262
6,128,63.481
6,128,63.597
6,128,63.778999999999996
6,128,67.619
6,128,70.564
6,128,71.667
6,128,72.82300000000001
6,128,76.969
6,128,80.279
6,128,81.26
6,128,83.274
6,128,86.083
6,128,91.259
6,128,92.232
6,128,92.842
6,128,94.713
6,128,94.713
6,128,94.713
6,128,94.713
6,128,94.713
6,128,96.7
6,128,101.675
6,128,102.612
6,128,107.289
6,128,110.718
6,128,112.35900000000001
6,128,113.195
6,128,117.852
6,128,120.043
6,128,121.915
6,128,122.43299999999999
6,128,128.402
6,128,130.347
6,128,131.877
6,128,132.136
6,128,137.422
6,128,139.844
6,128,141.617
6,128,142.436
6,128,147.198
6,128,149.665
6,128,151.428
6,128,152.463
6,128,157.48
6,128,158.98
6,128,158.98
6,128,158.98
6,128,158.98
6,128,158.98
6,128,159.459
6,128,162.09300000000002
6,128,163.393
6,128,167.21800000000002
6,128,169.083
6,128,171.565
6,128,174.20600000000002
6,128,178.219
6,128,178.84300000000002
6,128,181.691
6,128,184.788
6,128,187.441
6,128,189.386
6,128,191.117
6,128,194.94
6,128,197.654
6,128,199.625
6,128,200.518
6,128,204.447
6,128,207.581
6,128,210.446
6,128,211.325
6,128,214.90699999999998
6,128,217.031
6,128,220.433
6,128,221.365
6,128,225.529
6,128,226.374
6,128,230.666
6,128,232.15
6,128,235.79399999999998
6,128,236.355
6,128,241.587
6,128,241.91
6,128,245.788
6,128,245.788
6,128,245.788
6,128,245.788
6,128,245.788
6,128,245.824
6,128,246.46
6,128,250.953
6,128,251.45
6,128,255.831
6,128,256.17
6,128,260.442
6,128,262.375
6,128,265.383
6,128,266.475
6,128,269.501
6,128,272.48
6,128,275.835
6,128,276.287
6,128,280.18
6,128,281.776
6,128,285.374
6,128,286.928
6,128,289.968
6,128,291.453
6,128,295.19
6,128,296.961
6,128,300.596
6,128,305.119
6,128,307.959
6,128,310.231
6,128,311.58
6,128,315.492
6,128,317.305
6,128,321.101
6,128,321.874
6,128,324.967
6,128,326.814
10,65535,37.711
10,65535,40.521
10,65535,42.966
10,512,50.616
10,512,50.616
10,512,50.616
10,512,50.616
10,512,52.245
10,512,53.726
10,512,56.332
10,512,57.503
10,256,58.411
10,256,58.411
10,256,58.411
10,256,58.411
10,256,72.906
10,256,72.906
10,256,72.906
10,256,72.906
10,256,108.792
10,256,108.792
10,256,108.792
10,256,108.792
10,256,153.082
10,256,162.856
10,256,162.856
10,256,162.856
10,256,162.856
10,256,215.01
10,256,270.641
10,256,270.641
10,256,270.641
10,256,270.641
10,256,295.282
3,65535,51.7
3,65535,52.141
3,65535,52.18
3,65535,53.232
3,65535,56.736
3,256,61.733
3,256,61.733
3,256,61.733
3,256,68.81700000000001
3,256,68.81700000000001
3,256,68.81700000000001
3,256,80.961
3,256,80.961
3,256,80.961
3,256,110.789
3,256,110.789
3,256,110.789
3,256,117.428
3,256,177.826
3,256,182.572
3,256,182.572
3,256,182.572
3,256,267.47
3,256,295.681
3,256,295.681
3,256,295.681
