node,rank,time
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,59.395
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,95.07300000000001
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
1,128,255.656
7,65535,3.803
7,65535,3.803
7,65535,4.524
7,65535,4.524
7,65535,5.934
7,65535,5.934
7,65535,8.539
7,65535,8.539
7,299,16.681
7,299,16.681
7,299,16.681
7,299,16.681
7,299,16.681
7,299,16.681
7,299,16.681
7,299,16.681
7,294,24.76
7,294,24.76
7,294,24.76
7,294,24.76
7,294,24.76
7,294,24.76
7,294,24.76
7,294,24.76
7,290,42.19
7,290,42.19
7,290,42.19
7,290,42.19
7,290,42.19
7,290,42.19
7,290,42.19
7,290,42.19
7,280,65.485
7,280,65.485
7,280,65.485
7,280,65.485
7,280,65.485
7,280,65.485
7,280,65.485
7,280,65.485
7,277,77.146
7,277,77.146
7,265,136.093
7,265,136.093
7,265,136.093
7,265,136.093
7,265,136.093
7,265,136.093
7,265,136.093
7,265,136.093
7,262,168.926
7,262,168.926
7,256,264.666
7,256,264.666
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
7,256,271.16700000000003
3,65535,4.158
3,65535,4.158
3,65535,6.459
3,65535,6.459
3,65535,10.345
3,65535,10.345
3,65535,13.209
3,65535,13.209
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,343,17.641
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,334,24.318
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,312,31.052
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,292,41.891
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,271,65.447
3,262,85.512
3,262,85.512
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,146.003
3,256,162.441
3,256,162.441
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,224.281
3,256,231.659
3,256,231.659
3,256,288.111
3,256,288.111
9,65535,4.326
9,65535,4.326
9,65535,5.922
9,65535,5.922
9,65535,9.92
9,65535,9.92
9,65535,12.654
9,65535,12.654
9,324,18.62
9,324,18.62
9,324,18.62
9,324,18.62
9,324,18.62
9,324,18.62
9,324,18.62
9,324,18.62
9,317,25.589
9,317,25.589
9,317,25.589
9,317,25.589
9,317,25.589
9,317,25.589
9,317,25.589
9,317,25.589
9,304,42.102
9,304,42.102
9,304,42.102
9,304,42.102
9,304,42.102
9,304,42.102
9,304,42.102
9,304,42.102
9,294,63.093
9,294,63.093
9,294,63.093
9,294,63.093
9,294,63.093
9,294,63.093
9,294,63.093
9,294,63.093
9,280,102.765
9,280,102.765
9,277,115.193
9,277,115.193
9,277,115.193
9,277,115.193
9,277,115.193
9,277,115.193
9,277,115.193
9,277,115.193
9,268,150.043
9,268,150.043
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,260,218.53300000000002
9,259,227.43200000000002
9,259,227.43200000000002
9,256,295.671
9,256,295.671
2,65535,5.185
2,65535,5.185
2,65535,7.127
2,65535,7.127
2,65535,11.006
2,65535,11.006
2,65535,11.966
2,65535,11.966
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,316,19.332
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,310,26.89
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,290,44.485
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,277,65.872
2,262,108.783
2,262,108.783
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,257,134.528
2,256,186.251
2,256,186.251
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,257.153
2,256,276.808
2,256,276.808
6,65535,6.314
6,65535,6.314
6,65535,10.015
6,65535,10.015
6,65535,13.995
6,65535,13.995
6,65535,17.093
6,65535,17.093
6,317,25.352
6,317,25.352
6,317,25.352
