node,seq,send,sink,response,delay
2,0,34.777,,,
2,1,43.882,,,
2,2,54.378,,,
2,3,64.277,,,
2,4,74.41,,,
2,5,84.53399999999999,,,
2,6,95.45400000000001,,,
2,7,106.262,,,
2,8,116.822,,,
2,9,125.913,,,
2,10,136.47899999999998,,,
2,11,147.185,,,
2,12,158.16,,,
2,13,168.32,,,
2,14,177.784,,,
2,15,187.091,,,
2,16,196.958,,,
2,17,206.179,,,
2,18,215.198,,,
2,19,225.988,,,
2,20,235.702,,,
2,21,245.099,,,
2,22,254.445,,,
2,23,264.646,,,
2,24,274.902,,,
2,25,285.19100000000003,,,
2,26,296.095,,,
2,27,305.34,,,
2,28,316.257,,,
2,29,326.863,,,
2,30,337.111,,,
3,0,22.925,,,
3,1,33.416,,,
3,2,44.245,,,
3,3,54.597,,,
3,4,64.113,,,
3,5,73.893,,,
3,6,84.707,,,
3,7,93.782,,,
3,8,103.82300000000001,,,
3,9,113.571,,,
3,10,122.759,,,
3,11,133.444,,,
3,12,144.304,,,
3,13,154.758,,,
3,14,165.62,,,
3,15,174.966,,,
3,16,184.816,,,
3,17,195.648,,,
3,18,206.568,,,
3,19,217.001,,,
3,20,226.111,,,
3,21,236.59300000000002,,,
3,22,246.31,,,
3,23,256.258,,,
3,24,265.529,,,
3,25,275.763,,,
3,26,286.545,,,
3,27,296.36,,,
3,28,307.355,,,
3,29,318.133,,,
3,30,327.184,,,
3,31,336.562,,,
4,0,36.734,,,
4,1,46.188,,,
4,2,56.142,,,
4,3,66.854,,,
4,4,76.699,,,
4,5,85.877,,,
4,6,95.356,,,
4,7,105.50999999999999,,,
4,8,116.346,,,
4,9,126.196,,,
4,10,135.264,,,
4,11,144.963,,,
4,12,155.906,,,
4,13,166.487,,,
4,14,175.709,,,
4,15,185.064,,,
4,16,194.252,,,
4,17,204.406,,,
4,18,215.281,,,
4,19,224.391,,,
4,20,235.38400000000001,,,
4,21,245.636,,,
4,22,255.05,,,
4,23,265.781,,,
4,24,275.972,,,
4,25,286.953,,,
4,26,296.676,,,
4,27,306.315,,,
4,28,315.317,,,
4,29,324.894,,,
4,30,335.222,,,
6,0,29.307,,,
6,1,39.011,,,
6,2,48.666,,,
6,3,59.562,,,
6,4,68.879,,,
6,5,78.982,,,
6,6,89.175,,,
6,7,98.445,,,
6,8,107.977,,,
6,9,117.313,,,
6,10,126.654,,,
6,11,137.015,,,
6,12,146.875,,,
6,13,157.503,,,
6,14,167.471,,,
6,15,177.629,,,
6,16,187.795,,,
6,17,197.025,,,
6,18,206.1,,,
6,19,215.959,,,
6,20,225.096,,,
6,21,236.002,,,
6,22,245.257,,,
6,23,255.57,,,
6,24,265.886,,,
6,25,275.821,,,
6,26,286.244,,,
6,27,297.019,,,
6,28,306.638,,,
6,29,316.21,,,
6,30,325.955,,,
6,31,335.046,,,
7,0,32.998,,,
7,1,43.771,,,
7,2,53.518,,,
7,3,63.595,,,
7,4,74.447,,,
7,5,84.45,,,
7,6,93.487,,,
7,7,103.291,,,
7,8,114.051,,,
7,9,124.009,,,
7,10,133.02100000000002,,,
7,11,142.567,,,
7,12,152.358,,,
7,13,162.571,,,
7,14,172.924,,,
7,15,183.253,,,
7,16,193.485,,,
7,17,204.404,,,
7,18,215.239,,,
7,19,224.368,,,
7,20,234.076,,,
7,21,244.893,,,
7,22,254.031,,,
7,23,264.226,,,
7,24,275.105,,,
7,25,285.647,,,
7,26,295.159,,,
7,27,304.339,,,
7,28,314.682,,,
7,29,325.483,,,
7,30,334.844,,,
8,0,35.294,,,
8,1,44.994,,,
8,2,54.485,,,
8,3,64.071,,,
8,4,74.094,,,
8,5,83.783,,,
8,6,94.446,,,
8,7,104.521,,,
8,8,114.21000000000001,,,
8,9,124.137,,,
8,10,133.869,,,
8,11,143.256,,,
8,12,153.823,,,
8,13,164.613,,,
8,14,174.923,,,
8,15,185.672,,,
8,16,195.046,,,
8,17,205.049,,,
8,18,214.769,,,
8,19,225.689,,,
8,20,235.249,,,
8,21,245.591,,,
8,22,256.543,,,
8,23,265.558,,,
8,24,275.771,,,
8,25,285.923,,,
8,26,296.387,,,
8,27,307.061,,,
8,28,317.065,,,
8,29,327.227,,,
8,30,337.522,,,
9,0,37.853,,,
9,1,48.317,,,
9,2,58.385,,,
9,3,68.77,,,
9,4,78.507,,,
9,5,89.239,,,
9,6,99.961,,,
9,7,109.525,,,
9,8,118.807,,,
9,9,129.262,,,
9,10,138.849,,,
9,11,148.762,,,
9,12,158.8,,,
9,13,168.924,,,
9,14,179.683,,,
9,15,188.89,,,
9,16,199.603,,,
9,17,209.849,,,
9,18,219.595,,,
9,19,229.928,,,
9,20,239.755,,,
9,21,249.292,,,
9,22,258.402,,,
9,23,268.253,,,
9,24,277.506,,,
9,25,287.598,,,
9,26,297.406,,,
9,27,308.181,,,
9,28,318.60699999999997,,,
9,29,328.24,,,
9,30,338.115,,,
10,0,39.849,,,
10,1,50.476,,,
10,2,59.908,,,
10,3,69.487,,,
10,4,79.765,,,
10,5,89.444,,,
10,6,99.018,,,
10,7,109.533,,,
10,8,119.881,,,
10,9,130.864,,,
10,10,141.472,,,
10,11,151.976,,,
10,12,162.16899999999998,,,
10,13,172.736,,,
10,14,182.96,,,
10,15,193.255,,,
10,16,202.272,,,
10,17,212.933,,,
10,18,222.266,,,
10,19,233.04500000000002,,,
10,20,242.124,,,
10,21,251.545,,,
10,22,260.951,,,
10,23,271.402,,,
10,24,281.312,,,
10,25,291.573,,,
10,26,301.76,,,
10,27,311.988,,,
10,28,321.02,,,
10,29,331.727,,,
10,30,340.891,,,
11,0,45.042,,,
