node,seq,send,sink,response,delay
2,0,56.391,56.489,56.516,0.125
2,1,66.051,66.122,66.19800000000001,0.14700000000000557
2,2,75.084,75.145,75.262,0.17799999999999727
2,3,85.217,85.306,85.436,0.2190000000000083
2,4,94.225,94.26599999999999,94.35,0.125
2,5,105.13499999999999,105.237,105.316,0.1810000000000116
2,6,115.961,116.03399999999999,116.094,0.13299999999999557
2,7,125.05199999999999,125.152,125.261,0.20900000000000318
2,8,135.618,135.684,135.801,0.18299999999999272
2,9,146.112,146.177,146.242,0.12999999999999545
2,10,157.087,157.16899999999998,157.244,0.1570000000000107
2,11,167.7,167.769,167.815,0.1150000000000091
2,12,177.674,177.731,177.813,0.13899999999998158
2,13,188.44,188.549,188.592,0.15200000000001523
2,14,198.552,198.581,198.609,0.05700000000001637
2,15,208.549,208.615,208.7,0.15099999999998204
2,16,217.56799999999998,217.688,217.747,0.17900000000003047
2,17,228.358,228.462,228.555,0.19700000000000273
2,18,237.755,237.84,237.937,0.18200000000001637
2,19,247.101,247.16,247.246,0.14500000000001023
2,20,257.935,258.02,258.11,0.17500000000001137
2,21,268.668,268.759,268.863,0.19499999999999318
2,22,277.848,277.918,278.024,0.17599999999998772
2,23,288.137,288.244,288.304,0.16699999999997317
2,24,298.404,298.501,298.591,0.18700000000001182
2,25,309.307,309.356,309.401,0.09399999999999409
2,26,319.835,319.898,319.992,0.1570000000000391
2,27,330.197,330.235,330.307,0.11000000000001364
2,28,340.006,340.101,340.19100000000003,0.18500000000005912
3,0,61.961,62.051,62.14,0.17900000000000205
3,1,72.78999999999999,72.885,72.964,0.1740000000000066
3,2,82.405,82.508,82.574,0.16899999999999693
3,3,92.173,92.262,92.32900000000001,0.1560000000000059
3,4,103.14099999999999,103.178,103.24799999999999,0.10699999999999932
3,5,112.57,112.616,112.721,0.15100000000001046
3,6,121.606,121.652,121.695,0.08899999999999864
3,7,132.514,132.583,132.687,0.17300000000000182
3,8,141.909,141.939,142.026,0.11700000000001864
3,9,151.398,151.48,151.574,0.17600000000001614
3,10,160.41,160.483,160.567,0.1570000000000107
3,11,171.127,171.18200000000002,171.252,0.125
3,12,180.768,180.882,180.937,0.16900000000001114
3,13,190.216,190.317,190.383,0.1670000000000016
3,14,199.865,199.95499999999998,200.043,0.17799999999999727
3,15,210.383,210.461,210.544,0.16100000000000136
3,16,221.197,221.286,221.38400000000001,0.18700000000001182
3,17,231.46699999999998,231.54500000000002,231.643,0.17600000000001614
3,18,241.326,241.37,241.452,0.12600000000000477
3,19,250.401,250.484,250.591,0.18999999999999773
3,20,261.335,261.398,261.494,0.15900000000004866
3,21,271.423,271.481,271.534,0.11099999999999
3,22,280.58,280.652,280.72,0.1400000000000432
3,23,289.981,290.027,290.121,0.13999999999998636
3,24,300.342,300.394,300.474,0.132000000000005
3,25,309.466,309.521,309.603,0.13700000000000045
3,26,320.401,320.488,320.538,0.13700000000000045
3,27,329.799,329.902,329.983,0.18400000000002592
3,28,339.103,339.193,339.275,0.17199999999996862
4,0,37.339,37.404,37.418,0.07900000000000063
4,1,46.492,46.533,46.591,0.09900000000000375
4,2,55.623,55.667,55.732,0.10900000000000176
4,3,66.335,66.391,66.434,0.09900000000000375
4,4,76.18,76.219,76.274,0.09399999999999409
4,5,85.358,85.404,85.473,0.11499999999999488
4,6,95.95400000000001,96.021,96.038,0.08399999999998897
4,7,105.917,105.95400000000001,106.013,0.09600000000000364
4,8,116.753,116.822,116.868,0.11499999999999488
4,9,126.603,126.648,126.721,0.11800000000000921
4,10,135.671,135.738,135.805,0.13400000000001455
4,11,145.37,145.407,145.47,0.09999999999999432
4,12,155.838,155.902,155.962,0.12399999999999523
4,13,165.85,165.90699999999998,165.926,0.0759999999999934
4,14,175.072,175.119,175.151,0.07900000000000773
4,15,184.427,184.489,184.538,0.11100000000001842
4,16,193.615,193.674,193.742,0.12699999999998113
4,17,203.769,203.819,203.883,0.11400000000000432
4,18,214.644,214.684,214.731,0.08699999999998909
4,19,223.755,223.793,223.856,0.10099999999999909
4,20,234.748,234.817,234.857,0.10900000000000887
4,21,245.0,245.025,245.037,0.03700000000000614
4,22,254.223,254.295,254.35399999999998,0.1309999999999718
4,23,264.478,264.544,264.586,0.10800000000000409
4,24,274.951,274.974,275.002,0.05099999999998772
4,25,284.878,284.929,284.973,0.09500000000002728
4,26,293.955,294.005,294.057,0.10200000000003229
4,27,304.506,304.521,304.576,0.07000000000005002
4,28,313.682,313.753,313.777,0.09499999999997044
4,29,324.019,324.089,324.108,0.08899999999999864
4,30,334.826,334.878,334.923,0.09699999999997999
5,0,16.316,16.334,16.34,0.02400000000000091
5,1,27.183,27.192,27.208,0.02499999999999858
5,2,36.921,36.951,36.996,0.07500000000000284
5,3,47.189,47.226,47.236,0.046999999999997044
5,4,57.011,57.056,57.079,0.06799999999999784
5,5,67.68,67.687,67.695,0.014999999999986358
5,6,77.91,77.932,77.968,0.058000000000006935
5,7,88.5,88.539,88.625,0.125
5,8,98.28999999999999,98.299,98.315,0.025000000000005684
5,9,108.594,108.601,108.612,0.018000000000000682
5,10,119.223,119.233,119.27799999999999,0.05499999999999261
5,11,128.285,128.327,128.346,0.06100000000000705
5,12,138.278,138.286,138.292,0.014000000000010004
5,13,148.227,148.261,148.279,0.0519999999999925
5,14,157.603,157.618,157.631,0.027999999999991587
5,15,167.04399999999998,167.076,167.089,0.045000000000015916
5,16,177.01,177.023,177.046,0.036000000000001364
5,17,186.461,186.486,186.511,0.04999999999998295
5,18,197.112,197.143,197.188,0.0759999999999934
5,19,207.909,207.951,207.994,0.08500000000000796
5,20,218.70600000000002,218.739,218.753,0.04699999999996862
5,21,228.508,228.538,228.548,0.03999999999999204
5,22,239.173,239.197,239.24,0.06700000000000728
5,23,249.846,249.856,249.864,0.018000000000000682
5,24,258.946,258.951,258.959,0.012999999999976808
5,25,269.695,269.736,269.776,0.08100000000001728
5,26,279.158,279.163,279.189,0.03100000000000591
5,27,288.193,288.226,288.235,0.04200000000003001
5,28,298.111,298.132,298.149,0.038000000000010914
5,29,307.327,307.369,307.377,0.05000000000001137
5,30,317.751,317.765,317.771,0.020000000000038654
5,31,328.142,328.163,328.19,0.04800000000000182
5,32,337.499,337.52,337.553,0.053999999999973625
6,0,28.842,28.873,28.914,0.07200000000000273
6,1,39.305,39.335,39.374,0.06900000000000261
6,2,48.96,48.985,49.01,0.04999999999999716
